,codigo_dane,escolaridad_total,esc_basica_primaria,esc_basica_secundaria,esc_doctorado,esc_especializacion,esc_maestria,esc_media_academica_clasica,esc_media_tecnica,esc_ninguno,esc_no_informa,esc_normalista,esc_preescolar,esc_profesional,esc_resumen,esc_tecnologica,esc_tecnica_profesional,estrato_predominante,n_manzanas_estrato_pred,n_manzanas_total,prop_manzanas_bajas_1_2,anio_poblacion_departamental,poblacion_departamental,educ_info_disp,esc_superior,prop_basica_primaria,prop_basica_secundaria,prop_doctorado,prop_especializacion,prop_maestria,prop_media_academica_clasica,prop_media_tecnica,prop_ninguno,prop_no_informa,prop_normalista,prop_preescolar,prop_profesional,prop_resumen,prop_tecnologica,prop_tecnica_profesional,prop_superior
codigo_dane,1.0,0.09018423304217636,0.09121159949878438,0.08983315570912842,0.08946296168423164,0.09083529726655855,0.08977044535014858,0.08848925388583337,0.09074964067257137,0.09130411754169257,0.08918312067673355,0.09078824858846879,0.08942066630555658,0.08920105275431492,,0.08583018387588993,0.08653730879040161,-0.11270672689053532,-0.002623681501354153,0.0004278201002426701,0.07604217179812632,,-0.44358609056670956,-0.3292124947870709,0.06217760487764907,0.013372599717008566,-0.0021957752712561803,0.07458110232266567,0.06087089200966001,-0.04121556862691255,-0.09327573349758753,-0.05009294217998063,-0.0424103461413518,0.09778509886653114,0.027385333593458273,-0.0626204533582442,0.0217047414568349,,-0.05908203173268185,-0.10297483266374068,-0.012370379031066074
escolaridad_total,0.09018423304217636,1.0,0.9998859094182797,0.9999585777772572,0.9993934865169584,0.9993150277667211,0.9990053146891863,0.9997822475964963,0.9998606592833795,0.9993868175681537,0.9976689595127669,0.9995512549726454,0.9998393214331609,0.9992225027885356,,0.9975171217241829,0.9988641776673949,-0.029918663443063206,0.052813493103596655,0.057671446452852625,-0.001961716046323554,,-0.03898903651616644,,0.9992635077888146,-0.06361767838803224,0.050469786092936134,0.02134904679405406,0.08608565053137601,0.07633785054143398,0.0703328692668784,0.040595675000844836,-0.04557515853205589,-0.007864373095395182,-0.006437181013621243,0.006954055258705559,0.11576952577480419,,0.09237737727573726,0.08429838893930114,0.11511386558937316
esc_basica_primaria,0.09121159949878438,0.9998859094182797,1.0,0.9997317881082192,0.9990357471640076,0.9988645729301363,0.998505317940097,0.9993914199400254,0.9996574683212084,0.9997370916164814,0.9972513193844433,0.9994963965939782,0.9997039077970796,0.9986175824392659,,0.9965506149237795,0.9981857535890857,-0.030184735071012277,0.04297152420945901,0.04687033035002872,0.0005091173780154928,,-0.03961321180730322,,0.9986159488390827,-0.05923031116366561,0.047774455139674286,0.020104507722453938,0.08218107313293312,0.07278967119189278,0.066760858612348,0.038390181850509505,-0.04333603871924201,-0.00830111856483616,-0.006286658044255945,0.005465871072263159,0.10949989543032913,,0.08700133073999175,0.07882705948299415,0.1087129817070807
esc_basica_secundaria,0.08983315570912842,0.9999585777772572,0.9997317881082192,1.0,0.9994545238197933,0.9993765364035835,0.9991030889910013,0.99988710931019,0.9998843245672023,0.9991008835909628,0.9977266757109303,0.999456016128929,0.9998041605716896,0.9993663569851069,,0.9978844673010252,0.9991364348148982,-0.02915336630921396,0.05858486400079122,0.0639079613354002,-0.003981342761708708,,-0.038293886030167396,,0.9994505147023213,-0.06609729087669487,0.053853107751820374,0.021792827913848886,0.0880658478061266,0.07823413319568638,0.07344566690880329,0.0425804316898377,-0.04801772260250647,-0.008467567530081826,-0.00659171129955464,0.007768391809250755,0.11925097938282599,,0.09601921161378016,0.08848474501557768,0.11900213925075762
esc_doctorado,0.08946296168423164,0.9993934865169584,0.9990357471640076,0.9994545238197933,1.0,0.999451294910561,0.9994284309848,0.9995076022917573,0.9992102665518979,0.9981587241350932,0.9981114679236751,0.9990905545905735,0.9989858318499552,0.9992130967244182,,0.998488936019806,0.9984917373803655,-0.02691871413187947,0.05625965219386994,0.06420232766280315,-0.003841155535019003,,-0.03814876756012406,,0.9993385869796254,-0.06460358205967462,0.04897765458021035,0.03289855314238034,0.09075696434363012,0.08326400621407043,0.07056869820141103,0.0396400365834595,-0.04758258454814312,-0.005594631709457631,-0.006224372663410591,0.005703264247277443,0.118964180396069,,0.0982734270219185,0.08457723232324131,0.118941442481288
esc_especializacion,0.09083529726655855,0.9993150277667211,0.9988645729301363,0.9993765364035835,0.999451294910561,1.0,0.9998358624352993,0.9995456972980316,0.9992079418807986,0.9977894062147581,0.9978550141818971,0.9989630942012043,0.9988971064122866,0.9996754106964434,,0.9987089831332048,0.998466874323249,-0.02412781326523058,0.06558205692464326,0.07480312955528093,-0.009176978457939942,,-0.038574379328909954,,0.99968304465971,-0.06590451501968708,0.05052736813110609,0.023871635026465172,0.10222779153146559,0.08839695062142458,0.07242668861420895,0.04311389688898427,-0.05114449840500621,-0.007629368381055699,-0.005593781018174372,0.005155987977104225,0.12948827380014732,,0.10142339675535199,0.08615943823754824,0.12735208879774798
esc_maestria,0.08977044535014858,0.9990053146891863,0.998505317940097,0.9991030889910013,0.9994284309848,0.9998358624352993,1.0,0.9993316399356423,0.998810282098161,0.9973465389779138,0.9982189355720387,0.9986999108570898,0.9984589865866653,0.9993447396124164,,0.9989072609390641,0.9980738448776736,-0.02496495778625611,0.06411541109777798,0.07436310057573085,-0.0073019452279642245,,-0.037399857126815136,,0.9994344530471729,-0.06455035893721349,0.04965427310057959,0.024489574637555377,0.0975470447425922,0.09078386922412293,0.07060925470051377,0.04082913882275555,-0.049047913565399365,-0.007166723981451818,-0.0056577416431216575,0.005149365867621116,0.12481580090266207,,0.09941818687069184,0.08357636414622067,0.12320229674894081
esc_media_academica_clasica,0.08848925388583337,0.9997822475964963,0.9993914199400254,0.99988710931019,0.9995076022917573,0.9995456972980316,0.9993316399356423,1.0,0.9997002013343406,0.9984977154588504,0.997961187586176,0.9992104724417787,0.9995613794674503,0.9995888615103796,,0.9985058285295866,0.9992081621927805,-0.02761825874938998,0.0669597558693095,0.07357558437428247,-0.006999735744298841,,-0.036944664903332355,,0.9996913179637046,-0.06796990187177986,0.054619581681662185,0.022761521289563633,0.09106266210480773,0.0806285516936606,0.07718996826222722,0.043102364671177486,-0.05050199440970523,-0.008471188671915054,-0.00680243469599631,0.00760393305391219,0.12369197380095957,,0.10055217828145942,0.09128698976807159,0.12343367639699165
esc_media_tecnica,0.09074964067257137,0.9998606592833795,0.9996574683212084,0.9998843245672023,0.9992102665518979,0.9992079418807986,0.998810282098161,0.9997002013343406,1.0,0.999068943564726,0.9972304771286802,0.999353959692582,0.9997546155019948,0.9992771751721048,,0.9975708293881982,0.9990974253743491,-0.02837004546207037,0.05815776768469205,0.06370708388222426,-0.005509699397688418,,-0.038658510231328276,,0.9993299170755059,-0.06713333996197471,0.054099317557148696,0.02192341205431221,0.09127346654767078,0.07951531902173871,0.07353282016302626,0.04833282030327203,-0.05021681052058466,-0.008600682677907165,-0.006545412575910193,0.007629391761464354,0.12294264896251837,,0.09874424745388324,0.09083769884552777,0.1225722840113318
esc_ninguno,0.09130411754169257,0.9993868175681537,0.9997370916164814,0.9991008835909628,0.9981587241350932,0.9977894062147581,0.9973465389779138,0.9984977154588504,0.999068943564726,1.0,0.9961873368987537,0.9990772238726815,0.9993209945090551,0.9975164215343247,,0.9947857817650846,0.9972102084557319,-0.03625328679628523,0.033324426116150385,0.03394112255138334,0.007652637820255006,,-0.04167706397455205,,0.9974547627565965,-0.0593262678667065,0.04472319905242847,0.018815503281601375,0.07445853421525118,0.06745399204298325,0.06165090680177709,0.034650029172972635,-0.03298551757160883,-0.007840329461875852,-0.0062547189519736425,0.007411248408786126,0.10119262313869563,,0.07794383554841017,0.07300786876524891,0.09996273594759458
