codigo_dane,departamento,municipio,tipo_ruralidad,escolaridad_total,esc_basica_primaria,esc_basica_secundaria,esc_doctorado,esc_especializacion,esc_maestria,esc_media_academica_clasica,esc_media_tecnica,esc_ninguno,esc_no_informa,esc_normalista,esc_preescolar,esc_profesional,esc_resumen,esc_tecnologica,esc_tecnica_profesional,estrato_predominante,n_manzanas_estrato_pred,n_manzanas_total,prop_manzanas_bajas_1_2,anio_poblacion_departamental,poblacion_departamental
5045,ANTIOQUIA,Apartadó,Ciudades y aglomeraciones,122139.0,34548.0,20303.0,136.0,1028.0,176.0,16363.0,8124.0,14016.0,11452.0,76.0,6436.0,5022.0,0.0,1975.0,2484.0,1.0,476.0,1010.0,0.7712871287128713,2050.0,7440163.0
5079,ANTIOQUIA,Barbosa,Ciudades y aglomeraciones,40011.0,18200.0,6387.0,6.0,130.0,35.0,5589.0,1551.0,3900.0,86.0,56.0,1436.0,1078.0,0.0,732.0,825.0,2.0,137.0,175.0,0.9314285714285714,2050.0,7440163.0
5088,ANTIOQUIA,Bello,Ciudades y aglomeraciones,348830.0,109004.0,74548.0,160.0,1699.0,253.0,64824.0,19460.0,17396.0,8138.0,176.0,14863.0,17538.0,0.0,11426.0,9345.0,2.0,865.0,2311.0,0.6689744699264387,2050.0,7440163.0
5129,ANTIOQUIA,Caldas,Ciudades y aglomeraciones,64980.0,25097.0,13645.0,39.0,151.0,106.0,11232.0,1944.0,4133.0,169.0,92.0,2447.0,2391.0,0.0,1666.0,1868.0,2.0,272.0,381.0,0.7506561679790026,2050.0,7440163.0
5154,ANTIOQUIA,Caucasia,Ciudades y aglomeraciones,78691.0,30136.0,16852.0,35.0,229.0,63.0,9080.0,1915.0,12889.0,1713.0,122.0,3389.0,1210.0,0.0,460.0,598.0,1.0,565.0,1029.0,0.8629737609329446,2050.0,7440163.0
5212,ANTIOQUIA,Copacabana,Ciudades y aglomeraciones,58399.0,18111.0,12423.0,81.0,525.0,159.0,10832.0,2530.0,2761.0,1020.0,245.0,2761.0,3884.0,0.0,1797.0,1270.0,2.0,248.0,379.0,0.6860158311345647,2050.0,7440163.0
5266,ANTIOQUIA,Envigado,Ciudades y aglomeraciones,168718.0,38103.0,33107.0,121.0,4646.0,943.0,25539.0,8417.0,3719.0,3634.0,585.0,7068.0,29149.0,0.0,8315.0,5372.0,3.0,385.0,782.0,0.2531969309462916,2050.0,7440163.0
5308,ANTIOQUIA,Girardota,Ciudades y aglomeraciones,40678.0,14670.0,8773.0,8.0,158.0,19.0,5503.0,2254.0,2741.0,902.0,52.0,1891.0,1492.0,0.0,1151.0,1064.0,2.0,147.0,172.0,0.8604651162790697,2050.0,7440163.0
5360,ANTIOQUIA,Itagüí,Ciudades y aglomeraciones,224511.0,69317.0,50301.0,159.0,1029.0,102.0,39949.0,11301.0,11083.0,760.0,920.0,9416.0,15185.0,0.0,7140.0,7849.0,3.0,585.0,1176.0,0.48214285714285715,2050.0,7440163.0
5380,ANTIOQUIA,La Estrella,Ciudades y aglomeraciones,49562.0,17309.0,10862.0,44.0,300.0,60.0,7792.0,3109.0,2733.0,72.0,69.0,2192.0,2380.0,0.0,1447.0,1193.0,2.0,236.0,364.0,0.6840659340659341,2050.0,7440163.0
5001,ANTIOQUIA,Medellín,Ciudades y aglomeraciones,2107041.0,631732.0,423212.0,1950.0,30935.0,7510.0,331547.0,81914.0,118135.0,88754.0,4376.0,79239.0,189824.0,0.0,67622.0,50291.0,2.0,4642.0,12098.0,0.5911720945610844,2050.0,7440163.0
5615,ANTIOQUIA,Rionegro,Ciudades y aglomeraciones,94315.0,31966.0,19108.0,34.0,1099.0,247.0,14653.0,4748.0,5594.0,547.0,206.0,3932.0,7264.0,0.0,2806.0,2111.0,3.0,471.0,803.0,0.12204234122042341,2050.0,7440163.0
5631,ANTIOQUIA,Sabaneta,Ciudades y aglomeraciones,43143.0,12144.0,8327.0,249.0,627.0,165.0,7778.0,975.0,1496.0,800.0,102.0,1876.0,4561.0,0.0,2013.0,2030.0,3.0,130.0,197.0,0.18274111675126903,2050.0,7440163.0
5837,ANTIOQUIA,Turbo,Ciudades y aglomeraciones,111917.0,45929.0,21025.0,10.0,210.0,68.0,12003.0,3354.0,20923.0,773.0,234.0,4389.0,1473.0,0.0,568.0,958.0,1.0,430.0,609.0,0.9047619047619048,2050.0,7440163.0
8078,ATLÁNTICO,Baranoa,Ciudades y aglomeraciones,47101.0,14629.0,10009.0,8.0,136.0,11.0,7913.0,2422.0,3937.0,46.0,393.0,3182.0,2472.0,0.0,562.0,1381.0,1.0,483.0,711.0,0.9353023909985936,2050.0,2922132.0
8001,ATLÁNTICO,Barranquilla,Ciudades y aglomeraciones,1047796.0,285552.0,208984.0,774.0,13214.0,2416.0,165015.0,43634.0,61367.0,3135.0,2292.0,62372.0,135975.0,0.0,21240.0,41826.0,1.0,3505.0,7799.0,0.6932940120528273,2050.0,2922132.0
8296,ATLÁNTICO,Galapa,Ciudades y aglomeraciones,29383.0,9868.0,5929.0,2.0,22.0,0.0,4929.0,1065.0,3200.0,82.0,37.0,2150.0,1073.0,0.0,216.0,810.0,1.0,403.0,545.0,0.8770642201834863,2050.0,2922132.0
8433,ATLÁNTICO,Malambo,Ciudades y aglomeraciones,91789.0,30027.0,20737.0,50.0,63.0,2.0,15604.0,2756.0,8622.0,870.0,100.0,6793.0,3054.0,0.0,867.0,2244.0,1.0,1100.0,1231.0,1.0,2050.0,2922132.0
8520,ATLÁNTICO,Palmar de Varela,Ciudades y aglomeraciones,21600.0,7075.0,4181.0,0.0,7.0,4.0,3189.0,1405.0,1895.0,310.0,35.0,1449.0,1020.0,0.0,144.0,886.0,1.0,172.0,264.0,0.9848484848484849,2050.0,2922132.0
8558,ATLÁNTICO,Polonuevo,Ciudades y aglomeraciones,12576.0,4090.0,2776.0,0.0,46.0,15.0,1817.0,891.0,1464.0,32.0,23.0,710.0,253.0,0.0,24.0,435.0,1.0,86.0,157.0,0.9681528662420382,2050.0,2922132.0
8560,ATLÁNTICO,Ponedera,Ciudades y aglomeraciones,16673.0,6654.0,2855.0,12.0,3.0,20.0,1310.0,748.0,3070.0,132.0,41.0,1229.0,302.0,0.0,85.0,212.0,1.0,152.0,194.0,1.0,2050.0,2922132.0
8573,ATLÁNTICO,Puerto Colombia,Ciudades y aglomeraciones,25298.0,7302.0,5142.0,12.0,232.0,59.0,3260.0,1867.0,1291.0,16.0,56.0,1911.0,2695.0,0.0,640.0,815.0,1.0,168.0,408.0,0.75,2050.0,2922132.0
8634,ATLÁNTICO,Sabanagrande,Ciudades y aglomeraciones,23299.0,7664.0,4646.0,6.0,86.0,35.0,2678.0,1895.0,2679.0,36.0,180.0,1577.0,1081.0,0.0,202.0,534.0,1.0,229.0,334.0,0.9850299401197605,2050.0,2922132.0
8638,ATLÁNTICO,Sabanalarga,Ciudades y aglomeraciones,78199.0,23705.0,14727.0,25.0,814.0,221.0,11822.0,3927.0,7998.0,2151.0,718.0,4825.0,5589.0,0.0,542.0,1135.0,1.0,768.0,975.0,0.9384615384615385,2050.0,2922132.0
8685,ATLÁNTICO,Santo Tomás,Ciudades y aglomeraciones,21906.0,6629.0,3854.0,0.0,247.0,13.0,3586.0,435.0,2257.0,23.0,73.0,1346.0,2128.0,0.0,347.0,968.0,2.0,135.0,273.0,0.9487179487179487,2050.0,2922132.0
8758,ATLÁNTICO,Soledad,Ciudades y aglomeraciones,425572.0,121174.0,92408.0,6.0,473.0,8.0,71140.0,23697.0,28161.0,5588.0,550.0,28376.0,26119.0,0.0,4279.0,23593.0,1.0,3051.0,5211.0,0.9850316637881404,2050.0,2922132.0
8832,ATLÁNTICO,Tubará,Ciudades y aglomeraciones,9934.0,3805.0,1687.0,14.0,15.0,0.0,762.0,911.0,1221.0,15.0,36.0,763.0,310.0,0.0,59.0,336.0,1.0,79.0,113.0,1.0,2050.0,2922132.0
8849,ATLÁNTICO,Usiacurí,Ciudades y aglomeraciones,7978.0,2981.0,1534.0,0.0,9.0,5.0,1498.0,140.0,740.0,2.0,29.0,595.0,230.0,0.0,68.0,147.0,1.0,106.0,159.0,0.9874213836477987,2050.0,2922132.0
11001,"BOGOTÁ, D.C.","Bogotá, D.C.",Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,2.0,15664.0,38385.0,0.5758238895401849,2050.0,7332164.0
13052,BOLÍVAR,Arjona,Ciudades y aglomeraciones,56211.0,19505.0,10956.0,34.0,75.0,61.0,6266.0,1825.0,10051.0,215.0,153.0,3880.0,1490.0,0.0,439.0,1261.0,1.0,573.0,662.0,0.9788519637462235,2050.0,2376170.0
13001,BOLÍVAR,Cartagena,Ciudades y aglomeraciones,838762.0,223712.0,183333.0,782.0,9293.0,1896.0,111094.0,42499.0,49180.0,20041.0,2176.0,50539.0,79084.0,0.0,22628.0,42505.0,,,,,2050.0,2376170.0
13222,BOLÍVAR,Clemencia,Ciudades y aglomeraciones,10700.0,4148.0,2062.0,7.0,4.0,24.0,883.0,387.0,1988.0,8.0,10.0,925.0,79.0,0.0,32.0,143.0,1.0,174.0,174.0,1.0,2050.0,2376170.0
13620,BOLÍVAR,San Cristóbal,Ciudades y aglomeraciones,6178.0,2749.0,1333.0,0.0,2.0,2.0,463.0,217.0,783.0,18.0,32.0,376.0,95.0,0.0,30.0,78.0,1.0,119.0,119.0,1.0,2050.0,2376170.0
13683,BOLÍVAR,Santa Rosa,Ciudades y aglomeraciones,16831.0,7291.0,2996.0,21.0,25.0,6.0,1392.0,631.0,2910.0,239.0,9.0,954.0,125.0,0.0,29.0,203.0,1.0,229.0,229.0,1.0,2050.0,2376170.0
13836,BOLÍVAR,Turbaco,Ciudades y aglomeraciones,59419.0,18482.0,14046.0,55.0,96.0,166.0,7790.0,1917.0,6722.0,52.0,159.0,3535.0,3142.0,0.0,846.0,2411.0,2.0,640.0,1132.0,0.9169611307420494,2050.0,2376170.0
13838,BOLÍVAR,Turbaná,Ciudades y aglomeraciones,12365.0,4396.0,2636.0,4.0,7.0,16.0,1428.0,1104.0,1430.0,27.0,30.0,956.0,97.0,0.0,32.0,202.0,1.0,133.0,152.0,1.0,2050.0,2376170.0
13873,BOLÍVAR,Villanueva,Ciudades y aglomeraciones,16313.0,5896.0,3209.0,11.0,12.0,22.0,1375.0,148.0,3460.0,862.0,52.0,984.0,142.0,0.0,8.0,132.0,1.0,216.0,216.0,1.0,2050.0,2376170.0
15238,BOYACÁ,Duitama,Ciudades y aglomeraciones,98161.0,33227.0,20068.0,44.0,2013.0,279.0,11443.0,4517.0,6127.0,377.0,215.0,5652.0,10484.0,0.0,1516.0,2199.0,2.0,571.0,1036.0,0.6843629343629344,2050.0,1490926.0
15759,BOYACÁ,Sogamoso,Ciudades y aglomeraciones,106373.0,37314.0,21376.0,26.0,1461.0,105.0,14525.0,5208.0,7224.0,276.0,174.0,5309.0,9107.0,0.0,1339.0,2929.0,2.0,967.0,1270.0,0.8275590551181102,2050.0,1490926.0
15001,BOYACÁ,Tunja,Ciudades y aglomeraciones,142094.0,38654.0,24437.0,26.0,4191.0,607.0,18149.0,7871.0,7927.0,2207.0,278.0,8466.0,24371.0,0.0,1966.0,2944.0,3.0,764.0,1925.0,0.41714285714285715,2050.0,1490926.0
17001,CALDAS,Manizales,Ciudades y aglomeraciones,349948.0,106758.0,67745.0,555.0,5834.0,1546.0,60283.0,14237.0,17143.0,749.0,1268.0,15523.0,43014.0,0.0,8461.0,6832.0,3.0,1196.0,3209.0,0.43720785291368025,2050.0,1098853.0
17873,CALDAS,Villamaría,Ciudades y aglomeraciones,42584.0,15359.0,8421.0,14.0,286.0,59.0,7453.0,839.0,2986.0,1177.0,124.0,1746.0,2285.0,0.0,763.0,1072.0,2.0,192.0,460.0,0.5804347826086956,2050.0,1098853.0
18001,CAQUETÁ,Florencia,Ciudades y aglomeraciones,123732.0,45017.0,22109.0,16.0,1319.0,175.0,13634.0,6020.0,12420.0,5786.0,216.0,6029.0,8514.0,0.0,887.0,1590.0,1.0,1670.0,2229.0,0.9380888290713324,2050.0,436416.0
85001,CASANARE,Yopal,Ciudades y aglomeraciones,94315.0,36451.0,19794.0,35.0,1303.0,66.0,10906.0,4201.0,8557.0,598.0,197.0,3834.0,6061.0,0.0,683.0,1629.0,2.0,785.0,1834.0,0.8091603053435115,2050.0,583735.0
19513,CAUCA,Padilla,Ciudades y aglomeraciones,7715.0,3429.0,1662.0,0.0,36.0,12.0,934.0,322.0,434.0,283.0,12.0,410.0,84.0,0.0,15.0,82.0,1.0,107.0,111.0,1.0,2050.0,1839610.0
19001,CAUCA,Popayán,Ciudades y aglomeraciones,243595.0,84328.0,44032.0,91.0,3974.0,776.0,36804.0,8332.0,13631.0,481.0,635.0,10045.0,31569.0,0.0,3409.0,5488.0,2.0,1025.0,2941.0,0.6082964977898674,2050.0,1839610.0
19573,CAUCA,Puerto Tejada,Ciudades y aglomeraciones,41405.0,15643.0,8639.0,94.0,173.0,57.0,5659.0,2383.0,3029.0,100.0,70.0,1947.0,1266.0,0.0,1046.0,1299.0,2.0,248.0,418.0,0.9521531100478469,2050.0,1839610.0
19845,CAUCA,Villa Rica,Ciudades y aglomeraciones,13352.0,5639.0,2926.0,12.0,25.0,10.0,1676.0,961.0,801.0,132.0,14.0,796.0,183.0,0.0,87.0,90.0,1.0,185.0,187.0,1.0,2050.0,1839610.0
20001,CESAR,Valledupar,Ciudades y aglomeraciones,321068.0,98034.0,61571.0,145.0,2160.0,280.0,36450.0,19423.0,39871.0,3246.0,276.0,17506.0,27404.0,0.0,3072.0,11630.0,1.0,1578.0,3802.0,0.7346133613887428,2050.0,1696420.0
27001,CHOCÓ,Quibdó,Ciudades y aglomeraciones,100173.0,29426.0,16993.0,168.0,1023.0,288.0,15518.0,2378.0,13067.0,4235.0,545.0,5262.0,9646.0,0.0,772.0,852.0,1.0,871.0,945.0,0.9492063492063492,2050.0,764599.0
23001,CÓRDOBA,Montería,Ciudades y aglomeraciones,355018.0,117793.0,71305.0,69.0,3153.0,417.0,46210.0,13758.0,41723.0,2006.0,396.0,17439.0,26988.0,0.0,5769.0,7992.0,1.0,2881.0,4418.0,0.8512901765504753,2050.0,2101344.0
25099,CUNDINAMARCA,Bojacá,Ciudades y aglomeraciones,8146.0,3663.0,1546.0,0.0,36.0,18.0,609.0,215.0,672.0,198.0,12.0,565.0,210.0,0.0,100.0,302.0,2.0,97.0,102.0,0.9509803921568627,2050.0,5730649.0
25126,CUNDINAMARCA,Cajicá,Ciudades y aglomeraciones,41498.0,14294.0,8659.0,31.0,384.0,43.0,5984.0,1438.0,2985.0,421.0,85.0,2085.0,3403.0,0.0,507.0,1179.0,2.0,199.0,285.0,0.7017543859649122,2050.0,5730649.0
25175,CUNDINAMARCA,Chía,Ciudades y aglomeraciones,91153.0,26028.0,17445.0,122.0,2413.0,615.0,12862.0,4294.0,3310.0,178.0,236.0,5354.0,13519.0,0.0,1713.0,3064.0,2.0,342.0,537.0,0.638733705772812,2050.0,5730649.0
