Concepto,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Departamento,Origen
% población en edad de trabajar ,74.395424214,74.985750659,75.58343512,76.183959159,76.774830295,77.346059269,77.887113218,78.393413359,78.857444809,79.272112288,79.634208319,79.9202746,80.241926283,80.544142775,80.862245526,81.166180262,81.438503538,81.714651324,Antioquia,Cabeceras
Tasa Global de Participación (TGP),62.850259885,63.438457512,66.115725974,65.988625906,65.83010446,66.78680522,66.321492322,65.825465608,64.045714,63.226658376,63.711307742,62.534255048,61.901441363,59.611814027,59.916644845,64.192375512,64.707460258,64.908875074,Antioquia,Cabeceras
Tasa de Ocupación (TO),54.92127848,54.985449605,56.162601915,56.923394745,57.819962295,58.478810412,58.818588267,58.599064121,56.938570855,56.021028389,56.134854573,54.632769693,53.843974605,48.430320898,51.122455716,57.401461069,58.581248797,58.65581101,Antioquia,Cabeceras
Tasa de Desocupación (TD),12.615670039,13.324737453,15.054094789,13.737566188,12.167901343,12.439575123,11.312930082,10.978124378,11.096984795,11.396506113,11.89185003,12.635451321,13.016606043,18.757176428,14.677372458,10.579004732,9.467550475,9.63360412,Antioquia,Cabeceras
Tasa de Subocupación (TS),8.685257543,9.738256745,12.932140798,12.611123012,11.338799515,12.048299707,10.905363944,9.158607042,9.156303682,9.47385083,9.343353668,8.813245269,9.892708282,0.0,5.425183986,6.170118211,5.997703292,5.703428445,Antioquia,Cabeceras
Población total,4172.223,4240.547,4309.648,4379.733,4449.031,4516.446,4582.432,4648.439,4715.991,4789.475,4869.985,4967.802,5127.347,5276.005,5400.712,5509.734,5618.07,5720.003,Antioquia,Cabeceras
Población en edad de trabajar (PET),3103.943,3179.806,3257.38,3336.654,3415.736,3493.293,3569.124,3644.07,3718.91,3796.718,3878.174,3970.281,4114.282,4249.513,4367.137,4472.041,4575.272,4674.08,Antioquia,Cabeceras
Fuerza de trabajo  ,1950.836,2017.22,2153.64,2201.8121260000003,2248.582577,2333.058792,2367.0962999999997,2398.726045,2381.802463,2400.5379190000003,2470.835372,2482.7856469999997,2546.79986,2533.211787,2616.642,2870.709,2960.542,3033.893,Antioquia,Cabeceras
Población ocupada,1704.725,1748.431,1829.429,1899.336728,1974.977267,2042.836191,2099.3083500000002,2135.3909160000003,2117.494205,2126.960469,2177.007335,2169.074475,2215.292955,2058.0527819999998,2232.588,2567.017,2680.251,2741.62,Antioquia,Cabeceras
Población desocupada,246.111,268.789,324.211,302.475398,273.60531,290.222601,267.787949,263.335129,264.30825699999997,273.577451,293.828037,313.71117200000003,331.50690399999996,475.15900400000004,384.054,303.692,280.291,292.273,Antioquia,Cabeceras
Población fuera de la fuerza de trabajo,1153.107,1162.586,1103.74,1134.841874,1167.153423,1160.234208,1202.0276999999999,1245.343955,1337.107537,1396.180081,1407.338628,1487.4953529999998,1567.4821399999998,1716.301213,1750.495,1601.332,1614.73,1640.187,Antioquia,Cabeceras
Población subocupada,169.435,196.442,278.512,277.673236,254.96227,281.09391600000004,258.140466,219.689892,218.085067,227.423382,230.85888699999998,218.813989,251.947481,0.0,141.958,177.126,177.565,173.036,Antioquia,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.063,163.815,168.609,129.465,Antioquia,Cabeceras
% población en edad de trabajar ,70.524546298,70.888097503,71.248304428,71.604354286,71.963474865,72.334511252,72.720375389,73.119375015,73.529795446,73.9342292,74.314227896,74.649429868,74.953557745,75.238812149,75.548265379,75.837213256,76.135593298,76.635508552,Atlántico,Cabeceras
Tasa Global de Participación (TGP),60.787672335,59.231979421,60.232253128,61.137539488,62.47049648,62.850024701,62.95579402,62.898429297,65.17615295,65.013260999,63.606426597,63.59759921,62.728741022,57.759076378,61.753251454,65.578304619,65.358607838,63.04399215,Atlántico,Cabeceras
Tasa de Ocupación (TO),53.552437223,52.698604505,53.95653144,55.121404424,57.21004185,57.614994282,57.987142716,57.865092367,59.713771767,59.784619743,58.64440562,58.488497666,57.971005249,50.998723675,52.835494859,58.401659847,59.219889881,56.891100073,Atlántico,Cabeceras
Tasa de Desocupación (TD),11.902471066,11.030147868,10.419204599,9.84032906,8.420702454,8.329400735,7.892285978,8.002325316,8.380950602,8.042422694,7.801131493,8.033481778,7.584618621,11.704398906,14.440950695,10.943626575,9.392363393,9.759680292,Atlántico,Cabeceras
Tasa de Subocupación (TS),10.14891679,7.122195,6.980995651,8.51297208,12.36599376,12.022747321,9.687210024,9.883590765,13.280208648,11.954753552,11.655174196,12.817309827,13.7875956,0.0,13.058888641,14.762299203,11.839301,9.613127914,Atlántico,Cabeceras
Población total,2060.657,2088.881,2116.543,2143.635,2169.684,2194.832,2219.565,2243.895,2269.038,2300.565,2339.334,2401.374,2498.802,2579.852,2629.083,2661.869,2692.023,2720.854,Atlántico,Cabeceras
Población en edad de trabajar (PET),1453.269,1480.768,1508.001,1534.936,1561.38,1587.621,1614.076,1640.722,1668.419,1700.905,1738.458,1792.612,1872.941,1941.05,1986.227,2018.687,2049.588,2085.14,Atlántico,Cabeceras
