Área,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Armenia,42.7,38.8,34.8,36.8,36.4,34.4,32.4,31.0,41.2,38.0,33.5,32.6,27.8
Barranquilla,,,,,,,,,,,34.7,29.8,29.7
Bogotá,23.9,21.0,20.6,21.1,21.3,23.4,21.1,21.4,34.0,30.7,28.1,24.1,19.6
Bucaramanga,,,,,,,,,,,33.9,31.5,30.3
Cali,,,,,,,,,,,23.7,24.3,23.6
Cartagena,42.0,38.4,36.6,36.4,40.5,37.2,37.2,36.9,50.1,42.5,43.6,42.8,41.1
Cúcuta,,,,,,,,,,,43.5,37.7,35.5
Florencia,51.3,49.6,46.3,45.2,48.2,47.6,46.3,46.8,53.6,50.6,45.8,45.4,43.5
Ibagué,39.2,37.3,35.8,37.1,41.2,41.1,42.2,44.1,57.4,44.5,40.9,36.9,31.3
Manizales,,,,,,,,,,,20.5,18.9,16.7
Medellín,,,,,,,,,,,26.5,25.3,22.1
Montería,38.2,34.9,21.7,28.0,30.8,27.1,27.3,29.3,39.8,37.8,39.5,36.2,32.1
Neiva,40.5,39.9,38.5,39.8,42.6,42.2,41.7,40.9,56.4,48.2,42.9,43.8,36.7
Pasto,48.8,41.8,40.5,38.1,34.2,32.5,37.2,32.9,42.3,37.3,34.2,32.1,30.6
Pereira,,,,,,,,,,,28.6,26.4,24.5
Popayán,48.5,44.9,44.9,43.1,43.1,39.8,38.5,38.7,44.3,41.7,38.8,41.1,38.8
Quibdó,68.4,66.0,65.5,67.8,67.0,66.3,66.8,64.1,69.4,67.4,62.3,62.0,59.6
Riohacha,40.2,37.2,36.0,34.4,38.5,38.0,38.3,41.5,48.7,50.3,48.8,47.9,48.8
Santa Marta,38.8,36.0,36.6,32.8,37.1,33.7,33.5,37.0,46.8,45.8,44.4,41.5,37.9
Sincelejo,40.8,40.9,37.3,36.7,39.0,35.3,35.3,41.8,55.3,47.9,49.5,46.4,46.0
Tunja,36.8,39.8,38.8,37.7,37.4,37.5,39.0,37.7,50.0,41.7,35.6,31.5,28.7
Valledupar,38.2,36.8,33.0,36.5,40.9,38.5,39.3,39.4,51.8,50.1,48.5,51.4,47.5
Villavicencio,29.7,28.5,24.6,24.1,26.7,24.3,23.5,23.6,36.1,27.7,27.2,30.4,25.8
