Área,2023_Hombre,2023_Mujer,2024_Hombre,2024_Mujer
Armenia,32.2,32.9,27.2,28.4
Barranquilla,29.5,30,29.1,30.3
Bogotá,23.3,25,18.7,20.3
Bucaramanga,30.9,32,29.1,31.4
Cali,23.3,25.2,22.8,24.2
Cartagena,41.7,43.9,40.1,41.9
Cúcuta,36.7,38.7,34.3,36.6
Florencia,43.4,47.2,41.5,45.4
Ibagué,35.4,38.3,29.6,32.8
Manizales,18.2,19.5,16.1,17.3
Medellín,24.8,25.8,21.3,22.7
Montería,35.8,36.5,31.4,32.8
Neiva,42.2,45.3,35.6,37.7
Pasto,31,33.1,29.1,32
Pereira,25.7,26.9,23.9,25
Popayán,39.8,42.2,37.9,39.6
Quibdó,60.3,63.3,57.8,61.1
Riohacha,46.8,48.9,47.6,50
Santa Marta,40.4,42.4,36.9,38.9
Sincelejo,45.9,46.9,45.3,46.7
Tunja,30.6,32.3,27.5,29.7
Valledupar,50.6,52.1,46.7,48.3
Villavicencio,29.2,31.5,25.1,26.5
