DEPTO,MPIO,ESTRATO_PREDOMINANTE_INT,n_manzanas
Amazonas,Leticia,1.0,93
Amazonas,Leticia,2.0,140
Amazonas,Leticia,3.0,72
Amazonas,Puerto Nariño,1.0,26
Antioquia,Abejorral,1.0,30
Antioquia,Abejorral,2.0,80
Antioquia,Abejorral,3.0,8
Antioquia,Abriaquí,1.0,1
Antioquia,Abriaquí,2.0,19
Antioquia,Alejandría,2.0,21
Antioquia,Alejandría,3.0,2
Antioquia,Amagá,1.0,10
Antioquia,Amagá,2.0,93
Antioquia,Amagá,3.0,6
Antioquia,Amalfi,1.0,40
Antioquia,Amalfi,2.0,62
Antioquia,Amalfi,3.0,42
Antioquia,Andes,1.0,66
Antioquia,Andes,2.0,85
Antioquia,Andes,3.0,16
Antioquia,Angelópolis,1.0,2
Antioquia,Angelópolis,2.0,20
Antioquia,Angelópolis,3.0,2
Antioquia,Angostura,1.0,11
Antioquia,Angostura,2.0,20
Antioquia,Angostura,3.0,5
Antioquia,Anorí,1.0,15
Antioquia,Anorí,2.0,37
Antioquia,Anorí,3.0,7
Antioquia,Anzá,1.0,7
Antioquia,Anzá,2.0,11
Antioquia,Anzá,3.0,11
Antioquia,Apartadó,1.0,476
Antioquia,Apartadó,2.0,303
Antioquia,Apartadó,3.0,193
Antioquia,Apartadó,4.0,36
Antioquia,Apartadó,5.0,2
Antioquia,Arboletes,1.0,126
Antioquia,Arboletes,2.0,70
Antioquia,Arboletes,3.0,6
Antioquia,Argelia,1.0,39
Antioquia,Argelia,2.0,8
Antioquia,Armenia,2.0,17
Antioquia,Armenia,3.0,7
Antioquia,Barbosa,1.0,26
Antioquia,Barbosa,2.0,137
Antioquia,Barbosa,3.0,12
Antioquia,Bello,1.0,681
Antioquia,Bello,2.0,865
Antioquia,Bello,3.0,700
Antioquia,Bello,4.0,65
Antioquia,Belmira,1.0,2
Antioquia,Belmira,2.0,21
Antioquia,Betania,1.0,4
Antioquia,Betania,2.0,27
Antioquia,Betania,3.0,6
Antioquia,Betulia,1.0,19
Antioquia,Betulia,2.0,29
Antioquia,Betulia,3.0,10
Antioquia,Briceño,1.0,7
Antioquia,Briceño,2.0,30
Antioquia,Briceño,3.0,4
Antioquia,Buriticá,1.0,2
Antioquia,Buriticá,2.0,21
Antioquia,Caicedo,1.0,1
Antioquia,Caicedo,2.0,21
Antioquia,Caldas,1.0,14
Antioquia,Caldas,2.0,272
Antioquia,Caldas,3.0,94
Antioquia,Caldas,4.0,1
Antioquia,Campamento,1.0,5
Antioquia,Campamento,2.0,21
Antioquia,Campamento,3.0,2
Antioquia,Caracolí,1.0,24
Antioquia,Caracolí,2.0,26
Antioquia,Caramanta,1.0,10
Antioquia,Caramanta,2.0,13
Antioquia,Caramanta,3.0,17
Antioquia,Carepa,1.0,219
Antioquia,Carepa,2.0,265
Antioquia,Carepa,3.0,9
Antioquia,Carolina,1.0,11
Antioquia,Carolina,2.0,41
Antioquia,Caucasia,1.0,565
Antioquia,Caucasia,2.0,323
Antioquia,Caucasia,3.0,133
Antioquia,Caucasia,4.0,8
Antioquia,Cañasgordas,1.0,21
Antioquia,Cañasgordas,2.0,48
Antioquia,Chigorodó,1.0,342
Antioquia,Chigorodó,2.0,294
Antioquia,Chigorodó,3.0,6
Antioquia,Cisneros,1.0,48
Antioquia,Cisneros,2.0,54
Antioquia,Cisneros,3.0,20
Antioquia,Ciudad Bolívar,1.0,36
Antioquia,Ciudad Bolívar,2.0,65
Antioquia,Ciudad Bolívar,3.0,61
Antioquia,Cocorná,1.0,6
Antioquia,Cocorná,2.0,43
Antioquia,Cocorná,3.0,15
Antioquia,Concepción,1.0,4
Antioquia,Concepción,2.0,22
Antioquia,Concepción,3.0,7
Antioquia,Concordia,1.0,15
Antioquia,Concordia,2.0,51
Antioquia,Concordia,3.0,18
Antioquia,Copacabana,1.0,12
Antioquia,Copacabana,2.0,248
Antioquia,Copacabana,3.0,113
Antioquia,Copacabana,4.0,3
Antioquia,Copacabana,5.0,2
Antioquia,Copacabana,6.0,1
Antioquia,Cáceres,1.0,83
Antioquia,Cáceres,2.0,12
Antioquia,Dabeiba,1.0,66
Antioquia,Dabeiba,2.0,54
Antioquia,Dabeiba,3.0,21
Antioquia,Donmatías,2.0,98
Antioquia,Donmatías,3.0,27
Antioquia,Ebéjico,1.0,6
Antioquia,Ebéjico,2.0,24
Antioquia,Ebéjico,3.0,7
Antioquia,El Bagre,1.0,386
Antioquia,El Bagre,2.0,157
Antioquia,El Bagre,3.0,18
Antioquia,El Carmen De Viboral,1.0,1
Antioquia,El Carmen De Viboral,2.0,105
Antioquia,El Carmen De Viboral,3.0,192
Antioquia,El Santuario,1.0,26
Antioquia,El Santuario,2.0,104
Antioquia,El Santuario,3.0,24
Antioquia,Entrerríos,2.0,4
