Departamento,Municipio,Codigo_DANE,Tipo_ruralidad
Antioquia,Apartadó,5045,Ciudades y aglomeraciones
Antioquia,Barbosa,5079,Ciudades y aglomeraciones
Antioquia,Bello,5088,Ciudades y aglomeraciones
Antioquia,Caldas,5129,Ciudades y aglomeraciones
Antioquia,Caucasia,5154,Ciudades y aglomeraciones
Antioquia,Copacabana,5212,Ciudades y aglomeraciones
Antioquia,Envigado,5266,Ciudades y aglomeraciones
Antioquia,Girardota,5308,Ciudades y aglomeraciones
Antioquia,Itagüí,5360,Ciudades y aglomeraciones
Antioquia,La Estrella,5380,Ciudades y aglomeraciones
Antioquia,Medellín,5001,Ciudades y aglomeraciones
Antioquia,Rionegro,5615,Ciudades y aglomeraciones
Antioquia,Sabaneta,5631,Ciudades y aglomeraciones
Antioquia,Turbo,5837,Ciudades y aglomeraciones
Atlántico,Baranoa,8078,Ciudades y aglomeraciones
Atlántico,Barranquilla,8001,Ciudades y aglomeraciones
Atlántico,Galapa,8296,Ciudades y aglomeraciones
Atlántico,Malambo,8433,Ciudades y aglomeraciones
Atlántico,Palmar de Varela,8520,Ciudades y aglomeraciones
Atlántico,Polonuevo,8558,Ciudades y aglomeraciones
Atlántico,Ponedera,8560,Ciudades y aglomeraciones
Atlántico,Puerto Colombia,8573,Ciudades y aglomeraciones
Atlántico,Sabanagrande,8634,Ciudades y aglomeraciones
Atlántico,Sabanalarga,8638,Ciudades y aglomeraciones
Atlántico,Santo Tomás,8685,Ciudades y aglomeraciones
Atlántico,Soledad,8758,Ciudades y aglomeraciones
Atlántico,Tubará,8832,Ciudades y aglomeraciones
Atlántico,Usiacurí,8849,Ciudades y aglomeraciones
"Bogotá, D.C.","Bogotá, D.C.",11001,Ciudades y aglomeraciones
Bolívar,Arjona,13052,Ciudades y aglomeraciones
Bolívar,Cartagena,13001,Ciudades y aglomeraciones
Bolívar,Clemencia,13222,Ciudades y aglomeraciones
Bolívar,San Cristóbal,13620,Ciudades y aglomeraciones
Bolívar,Santa Rosa,13683,Ciudades y aglomeraciones
Bolívar,Turbaco,13836,Ciudades y aglomeraciones
Bolívar,Turbaná,13838,Ciudades y aglomeraciones
Bolívar,Villanueva,13873,Ciudades y aglomeraciones
Boyacá,Duitama,15238,Ciudades y aglomeraciones
Boyacá,Sogamoso,15759,Ciudades y aglomeraciones
Boyacá,Tunja,15001,Ciudades y aglomeraciones
Caldas,Manizales,17001,Ciudades y aglomeraciones
Caldas,Villamaría,17873,Ciudades y aglomeraciones
Caquetá,Florencia,18001,Ciudades y aglomeraciones
Casanare,Yopal,85001,Ciudades y aglomeraciones
Cauca,Padilla,19513,Ciudades y aglomeraciones
Cauca,Popayán,19001,Ciudades y aglomeraciones
Cauca,Puerto Tejada,19573,Ciudades y aglomeraciones
Cauca,Villa Rica,19845,Ciudades y aglomeraciones
Cesar,Valledupar,20001,Ciudades y aglomeraciones
Chocó,Quibdó,27001,Ciudades y aglomeraciones
Córdoba,Montería,23001,Ciudades y aglomeraciones
Cundinamarca,Bojacá,25099,Ciudades y aglomeraciones
Cundinamarca,Cajicá,25126,Ciudades y aglomeraciones
Cundinamarca,Chía,25175,Ciudades y aglomeraciones
Cundinamarca,Cogua,25200,Ciudades y aglomeraciones
Cundinamarca,Cota,25214,Ciudades y aglomeraciones
Cundinamarca,Facatativá,25269,Ciudades y aglomeraciones
Cundinamarca,Funza,25286,Ciudades y aglomeraciones
Cundinamarca,Fusagasugá,25290,Ciudades y aglomeraciones
Cundinamarca,Gachancipá,25295,Ciudades y aglomeraciones
Cundinamarca,Girardot,25307,Ciudades y aglomeraciones
Cundinamarca,La Calera,25377,Ciudades y aglomeraciones
Cundinamarca,Madrid,25430,Ciudades y aglomeraciones
Cundinamarca,Mosquera,25473,Ciudades y aglomeraciones
Cundinamarca,Nemocón,25486,Ciudades y aglomeraciones
Cundinamarca,Sibaté,25740,Ciudades y aglomeraciones
Cundinamarca,Soacha,25754,Ciudades y aglomeraciones
Cundinamarca,Sopó,25758,Ciudades y aglomeraciones
Cundinamarca,Sutatausa,25781,Ciudades y aglomeraciones
Cundinamarca,Tabio,25785,Ciudades y aglomeraciones
Cundinamarca,Tocancipá,25817,Ciudades y aglomeraciones
Cundinamarca,Zipaquirá,25899,Ciudades y aglomeraciones
Huila,Neiva,41001,Ciudades y aglomeraciones
La Guajira,Maicao,44430,Ciudades y aglomeraciones
La Guajira,Riohacha,44001,Ciudades y aglomeraciones
Magdalena,Ciénaga,47189,Ciudades y aglomeraciones
Magdalena,Santa Marta,47001,Ciudades y aglomeraciones
Meta,Villavicencio,50001,Ciudades y aglomeraciones
Nariño,Ipiales,52356,Ciudades y aglomeraciones
Nariño,Nariño,52480,Ciudades y aglomeraciones
Nariño,Pasto,52001,Ciudades y aglomeraciones
Nariño,San Andrés de Tumaco,52835,Ciudades y aglomeraciones
Norte de Santander,Cúcuta,54001,Ciudades y aglomeraciones
Norte de Santander,Los Patios,54405,Ciudades y aglomeraciones
Norte de Santander,Ocaña,54498,Ciudades y aglomeraciones
Norte de Santander,Pamplona,54518,Ciudades y aglomeraciones
Norte de Santander,Villa del Rosario,54874,Ciudades y aglomeraciones
Putumayo,Puerto Asís,86568,Ciudades y aglomeraciones
Quindío,Armenia,63001,Ciudades y aglomeraciones
Quindío,Calarcá,63130,Ciudades y aglomeraciones
Quindío,Circasia,63190,Ciudades y aglomeraciones
Quindío,La Tebaida,63401,Ciudades y aglomeraciones
Risaralda,Dosquebradas,66170,Ciudades y aglomeraciones
Risaralda,Pereira,66001,Ciudades y aglomeraciones
Risaralda,Santa Rosa de Cabal,66682,Ciudades y aglomeraciones
Santander,Barrancabermeja,68081,Ciudades y aglomeraciones
Santander,Bucaramanga,68001,Ciudades y aglomeraciones
Santander,Floridablanca,68276,Ciudades y aglomeraciones
Santander,Girón,68307,Ciudades y aglomeraciones
Santander,Málaga,68432,Ciudades y aglomeraciones
Santander,Piedecuesta,68547,Ciudades y aglomeraciones
Santander,San Gil,68679,Ciudades y aglomeraciones
Sucre,Sincelejo,70001,Ciudades y aglomeraciones
Tolima,Honda,73349,Ciudades y aglomeraciones
Tolima,Ibagué,73001,Ciudades y aglomeraciones
Valle del Cauca,Buenaventura,76109,Ciudades y aglomeraciones
Valle del Cauca,Cali,76001,Ciudades y aglomeraciones
Valle del Cauca,Candelaria,76130,Ciudades y aglomeraciones
Valle del Cauca,Cartago,76147,Ciudades y aglomeraciones
Valle del Cauca,Florida,76275,Ciudades y aglomeraciones
Valle del Cauca,Guadalajara de Buga,76111,Ciudades y aglomeraciones
Valle del Cauca,Jamundí,76364,Ciudades y aglomeraciones
Valle del Cauca,Palmira,76520,Ciudades y aglomeraciones
Valle del Cauca,Pradera,76563,Ciudades y aglomeraciones
Valle del Cauca,Tuluá,76834,Ciudades y aglomeraciones
Valle del Cauca,Vijes,76869,Ciudades y aglomeraciones
Valle del Cauca,Yumbo,76892,Ciudades y aglomeraciones
Valle del Cauca,Tarazá,5790,Intermedio
