departamento,anio,tasa_desercion,depto_key,prop_superior_mean,estrato_pred_mean,rural_share,n_municipios
Amazonas,2010,0.39,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2010,0.09871423913929415,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2010,0.09217046580773043,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2010,0.11828040883201997,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2010,0.10230696393216837,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2010,0.06537133752323626,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2010,0.05375580795043882,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2010,0.10567595459236326,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2010,0.07702920211542884,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2010,0.07516202339870381,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2010,0.13628091210791135,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2010,0.1252170138888889,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2010,0.09418088338396821,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2010,0.09929238607415794,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2010,0.04,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2010,0.15853658536585366,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2010,0.09952646710637578,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2010,0.07900792636154436,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2010,0.11181661644425311,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2010,0.14543643381895155,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2010,0.0995260663507109,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2010,0.09757594354096348,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2010,0.08659578391002397,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2010,0.08339912438096606,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2010,0.08298395258059853,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2010,0.1288876435976464,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2010,0.3888888888888889,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2010,0.19387755102040816,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2010,0.7358490566037735,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2010,0.1920751610797309,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Atlántico,2010,0.29601406799531066,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2010,0.21448863636363635,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2010,0.07872426322163908,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2010,0.12138728323699421,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2010,0.37389380530973454,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2010,0.19121447028423771,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2010,0.15568544102019127,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2010,0.3622641509433962,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2010,0.1134453781512605,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2010,0.21323529411764705,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2010,0.06956813980843556,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guaviare,2010,0.625,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2010,0.1866913123844732,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2010,0.2389016018306636,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2010,0.11839323467230443,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2010,0.29188829787234044,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2010,0.5429553264604811,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2010,0.1720081135902637,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2010,0.12169167803547067,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2010,0.22103306844398873,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2010,0.14862267777065982,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2010,0.2505726065048099,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2010,0.5714285714285714,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2010,0.4444444444444444,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2010,1.0,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2010,0.18940787054063993,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Atlántico,2010,0.3223008445560374,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2010,0.3953098827470687,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2010,0.0,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2010,0.15517241379310345,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2010,0.45454545454545453,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Cauca,2010,0.2112676056338028,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2010,0.4157303370786517,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2010,0.0,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2010,0.1961206896551724,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2010,0.036322360953461974,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Huila,2010,0.15680473372781065,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2010,0.2959770114942529,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2010,0.02064896755162242,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2010,0.76,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Quindío,2010,0.1481203007518797,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2010,0.18614718614718614,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2010,0.18389199255121041,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2010,0.06991525423728813,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2010,0.29892008639308854,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Amazonas,2010,0.5625,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2010,0.19229822834645668,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Atlántico,2010,0.24887433483422022,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2010,0.18735863282231716,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2010,0.12007389162561577,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2010,0.11615487316421896,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2010,0.3697674418604651,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2010,0.19121447028423771,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2010,0.1511494252873563,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2010,0.35147392290249435,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2010,0.24770642201834864,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2010,0.22950819672131148,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2010,0.07534516765285997,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guaviare,2010,0.625,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2010,0.20026881720430106,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2010,0.2122229684351914,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2010,0.2078272604588394,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2010,0.23024830699774265,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2010,0.5429553264604811,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2010,0.2,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2010,0.1123946300343428,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2010,0.22696195005945302,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2010,0.26904376012965964,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2010,0.19600195026816186,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2010,0.5714285714285714,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2010,0.4444444444444444,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2011,0.3,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2011,0.08969644813018307,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2011,0.07923269391159299,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2011,0.1333380341277676,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2011,0.1022087162763119,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2011,0.06088430012610341,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2011,0.053699912255045334,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2011,0.09536307961504811,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2011,0.132691173579713,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2011,0.07455984033074346,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2011,0.13605773919828343,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2011,0.1518823719502343,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2011,0.10454189506656225,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2011,0.11736852710054403,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2011,0.23170731707317074,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2011,0.14705882352941177,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2011,0.09592746947429992,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2011,0.08333333333333333,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2011,0.12090108093378145,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2011,0.11852493741575197,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2011,0.14693295292439373,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2011,0.10816462313468302,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2011,0.09107458371258767,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2011,0.07311169187267041,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2011,0.08578715511245073,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2011,0.11424948932873143,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2011,0.6041666666666666,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2011,0.2457627118644068,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2011,0.6428571428571429,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2011,0.17424682108373343,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2011,0.030612244897959183,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2011,0.264637366050629,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2011,0.17890811146793742,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2011,0.12971120900636318,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2011,0.11411182959300115,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2011,0.22486772486772486,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2011,0.26371308016877637,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2011,0.2616699539776463,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2011,0.3271889400921659,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2011,0.18796992481203006,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2011,0.19486692015209126,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2011,0.08056603773584906,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2011,0.5,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2011,0.375,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2011,0.1784351145038168,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2011,0.16396039603960397,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2011,0.2672985781990521,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2011,0.15926892950391644,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2011,0.45907473309608543,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2011,0.1721141911460488,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2011,0.1465587044534413,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2011,0.15517138599105812,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2011,0.2554973821989529,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2011,0.2459858702633269,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2011,0.8181818181818182,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2011,0.5783132530120482,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2011,0.9444444444444444,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2011,0.3483627204030227,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2011,0.0,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2011,0.2942011834319527,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2011,0.3527272727272727,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2011,0.1774193548387097,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2011,0.21161825726141079,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2011,0.3387096774193548,CAQUETA,0.02665721228382872,1.0,0.625,16.0
