departamento,prop_superior_mean,estrato_pred_mean,rural_share,n_municipios
AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11
ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140
ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7
ARCHIPIÉLAGO DE SAN ANDRÉS,,,0.0,2
ATLÁNTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23
"BOGOTÁ, D.C.",,2.0,0.0,1
BOLÍVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46
BOYACÁ,0.03830873304669117,1.8604651162790697,0.38144329896907214,97
CALDAS,0.0400693349019389,2.0,0.2222222222222222,27
CAQUETÁ,0.02665721228382872,1.0,0.625,16
CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19
CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46
CESAR,0.04701469648642547,1.0416666666666667,0.72,25
CHOCÓ,0.02743359440448714,1.0333333333333334,0.36666666666666664,30
CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115
CÓRDOBA,0.04971569469632795,1.0,0.5121951219512195,41
GUAINÍA,0.05536403750689465,1.0,0.0,9
GUAVIARE,0.024847517606317905,1.0,0.25,4
HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27
LA GUAJIRA,,1.0,0.3333333333333333,15
MAGDALENA,0.033375645385512194,1.0,0.6,30
META,0.03700554004522973,1.44,0.4,30
NARIÑO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53
NORTE DE SANTANDER,,1.6923076923076923,0.35,40
PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12
QUINDÍO,0.054162557111810034,1.9166666666666667,0.25,12
RISARALDA,0.04291154952843301,2.142857142857143,0.0,14
SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99
SUCRE,0.04313395171061328,1.0,0.3076923076923077,26
TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14
VALLE DEL CAUCA,,1.8571428571428572,0.3125,64
VAUPÉS,0.03940380651968481,1.0,0.0,6
VICHADA,0.05201590233380985,1.0,0.0,21
