termino,coef,se,pval,modelo
Intercept,0.35414404325349913,0.02974847336754986,1.1198249184987712e-32,M1_FE_anio
C(anio)[T.2011],-0.0005308797093571834,0.02348467026239816,0.9819650586270529,M1_FE_anio
C(anio)[T.2012],-0.09065688066386385,0.021114336845913326,1.7578542261188392e-05,M1_FE_anio
C(anio)[T.2013],-0.11736533140211441,0.019192578112125377,9.647130866759466e-10,M1_FE_anio
C(anio)[T.2014],-0.08677087629437995,0.018335239141183693,2.2180963208422754e-06,M1_FE_anio
C(anio)[T.2015],-0.06090265001962918,0.020657616104689278,0.0031963689958847455,M1_FE_anio
C(anio)[T.2016],-0.08649332111934775,0.01945682180270705,8.772920599162963e-06,M1_FE_anio
C(anio)[T.2017],-0.0903973616101144,0.020534824461737707,1.0718379227698174e-05,M1_FE_anio
C(anio)[T.2018],-0.11455821971986543,0.01792026167843157,1.6301974957870228e-10,M1_FE_anio
C(anio)[T.2019],-0.0681980496837707,0.021455419923028903,0.0014799168373552738,M1_FE_anio
C(anio)[T.2020],-0.11171719607412878,0.018164583837064006,7.734844128186887e-10,M1_FE_anio
C(anio)[T.2021],-0.10176702791644389,0.018529223349714758,3.968570988951821e-08,M1_FE_anio
C(anio)[T.2022],-0.11608433890600846,0.01796836165103171,1.0436763227351925e-10,M1_FE_anio
C(anio)[T.2023],-0.10242206594627852,0.019087439376378624,8.052844143161337e-08,M1_FE_anio
prop_superior_mean,-0.40388834125868933,0.27851237320267114,0.1470130676253605,M1_FE_anio
estrato_pred_mean,-0.05843517166818649,0.006649222185045545,1.5187819623054136e-18,M1_FE_anio
rural_share,-0.0913836413882239,0.02109710320882308,1.4804788524327731e-05,M1_FE_anio
Intercept,-376712070887.9693,2.938958960721717,0.0,M2_FE_anio_depto
C(anio)[T.2011],-3.207099191200708e-05,1.7109614589601316e-13,0.0,M2_FE_anio_depto
C(anio)[T.2012],-0.0896688021441599,1.5803191935191486e-13,0.0,M2_FE_anio_depto
C(anio)[T.2013],-0.11610305952621514,1.399430937692261e-13,0.0,M2_FE_anio_depto
C(anio)[T.2014],-0.08616105535357559,1.3125350837163805e-13,0.0,M2_FE_anio_depto
C(anio)[T.2015],-0.0601899469281294,1.5084548484985749e-13,0.0,M2_FE_anio_depto
C(anio)[T.2016],-0.08617669241563305,1.3855018682711142e-13,0.0,M2_FE_anio_depto
C(anio)[T.2017],-0.08981507325605616,1.4911829721333118e-13,0.0,M2_FE_anio_depto
C(anio)[T.2018],-0.11374853580240614,1.2944272817442723e-13,0.0,M2_FE_anio_depto
C(anio)[T.2019],-0.0671759277216366,1.5752285394170679e-13,0.0,M2_FE_anio_depto
C(anio)[T.2020],-0.1107409607788721,1.3281946538835415e-13,0.0,M2_FE_anio_depto
