Departamento,Servicio,Respuesta,Casos,Porcentaje
ANTIOQUIA,Energía eléctrica,SI,1331184.5945548,0.950474167924543
ANTIOQUIA,Energía eléctrica,NO,69363.2998310043,0.0495258320754706
ATLANTICO,Energía eléctrica,SI,419891.033516283,0.979878088277124
ATLANTICO,Energía eléctrica,NO,8622.51172949002,0.0201219117228711
BOGOTA,Energía eléctrica,SI,1683395.10473342,0.991587389552814
BOGOTA,Energía eléctrica,NO,14281.895266166,0.00841261044719914
BOLIVAR,Energía eléctrica,SI,345894.70094723,0.917089811032306
BOLIVAR,Energía eléctrica,NO,31270.868647147,0.082910188967605
BOYACA,Energía eléctrica,SI,281850.526163578,0.921876907420017
BOYACA,Energía eléctrica,NO,23885.0052235289,0.0781230925799251
CALDAS,Energía eléctrica,SI,234111.206341158,0.981440565878682
CALDAS,Energía eléctrica,NO,4427.13666238298,0.0185594341213198
CAQUETA,Energía eléctrica,SI,53094.9451040236,0.717148170351736
CAQUETA,Energía eléctrica,NO,20941.282413621,0.282851829648266
CAUCA,Energía eléctrica,SI,213863.634973321,0.803353933326534
CAUCA,Energía eléctrica,NO,52349.8309740299,0.196646066673339
CESAR,Energía eléctrica,SI,169989.145639753,0.890019568628659
CESAR,Energía eléctrica,NO,21005.6949587199,0.109980431371338
CORDOBA,Energía eléctrica,SI,267085.715066193,0.886579893776266
CORDOBA,Energía eléctrica,NO,34168.257577596,0.113420106223792
CUNDINAMARCA,Energía eléctrica,SI,516686.528798429,0.958053855694765
CUNDINAMARCA,Energía eléctrica,NO,22621.9095813528,0.0419461443053193
CHOCO,Energía eléctrica,SI,56011.0538840718,0.648328613250073
CHOCO,Energía eléctrica,NO,30381.94611525,0.351671386749964
HUILA,Energía eléctrica,SI,213802.073911937,0.919099745348613
HUILA,Energía eléctrica,NO,18819.1132812289,0.0809002546513579
LA GUAJIRA,Energía eléctrica,SI,72105.1529360662,0.608952532494588
LA GUAJIRA,Energía eléctrica,NO,46303.342124602,0.391047467505421
MAGDALENA,Energía eléctrica,SI,206865.688061942,0.886115360024093
MAGDALENA,Energía eléctrica,NO,26586.6336045171,0.113884639975872
META,Energía eléctrica,SI,155272.282583937,0.912716728583214
META,Energía eléctrica,NO,14848.717416758,0.0872832714168004
NARIÑO,Energía eléctrica,SI,277285.191316995,0.863514683721765
NARIÑO,Energía eléctrica,NO,43827.1146392759,0.136485316278238
NORTE DE SANTANDER,Energía eléctrica,SI,261008.407360335,0.942806845667519
NORTE DE SANTANDER,Energía eléctrica,NO,15833.459624132,0.0571931543324704
QUINDIO,Energía eléctrica,SI,134369.615813934,0.982863932493284
QUINDIO,Energía eléctrica,NO,2342.711672812,0.0171360675067075
RISARALDA,Energía eléctrica,SI,215805.169809261,0.984454626013422
RISARALDA,Energía eléctrica,NO,3407.746770927,0.0155453739865755
SANTANDER,Energía eléctrica,SI,429835.316023693,0.954956254644041
SANTANDER,Energía eléctrica,NO,20274.6381583591,0.0450437453559599
SUCRE,Energía eléctrica,SI,145973.039145456,0.917685488552034
SUCRE,Energía eléctrica,NO,13093.4830633383,0.0823145114479273
TOLIMA,Energía eléctrica,SI,302887.632571688,0.922645507672814
TOLIMA,Energía eléctrica,NO,25394.063976817,0.0773544923271861
VALLE DEL CAUCA,Energía eléctrica,SI,953959.571317536,0.977147674266718
VALLE DEL CAUCA,Energía eléctrica,NO,22310.030954605,0.0228523257332614
ARAUCA,Energía eléctrica,SI,30048.2637752638,0.897872431374625
ARAUCA,Energía eléctrica,NO,3417.80860348201,0.102127568625371
CASANARE,Energía eléctrica,SI,55286.1071531356,0.83206870369677
CASANARE,Energía eléctrica,NO,11158.0541372799,0.167931296303222
PUTUMAYO,Energía eléctrica,SI,40682.0260448632,0.666561645641516
PUTUMAYO,Energía eléctrica,NO,20350.62759021,0.33343835435848
"SAN ANDRES,PROVIDENCIA Y SANTA CATALINA",Energía eléctrica,SI,15245.2671377778,0.980492385148936
"SAN ANDRES,PROVIDENCIA Y SANTA CATALINA",Energía eléctrica,NO,303.315766782,0.0195076148510646
AMAZONAS,Energía eléctrica,SI,6830.81241711099,0.726682172033934
AMAZONAS,Energía eléctrica,NO,2569.187582878,0.273317827966065
GUAINIA,Energía eléctrica,SI,2686.0,0.619893837987538
GUAINIA,Energía eléctrica,NO,1647.0,0.380106162012463
GUAVIARE,Energía eléctrica,SI,9879.20721781592,0.801103407210367
GUAVIARE,Energía eléctrica,NO,2452.792782306,0.198896592789633
VAUPES,Energía eléctrica,SI,2429.0,0.75154702970297
VAUPES,Energía eléctrica,NO,803.0,0.24845297029703
VICHADA,Energía eléctrica,SI,4531.01877556802,0.528152322594279
VICHADA,Energía eléctrica,NO,4047.981224492,0.471847677405721
